Titolo,Artista,Testo
Che Cos’è L’Amor,Vinicio Capossela,"Che cos'è l'amor
chiedilo al vento
che sferza il suo lamento sulla ghiaia
del viale del tramonto
all' amaca gelata
che ha perso il suo gazebo
guaire alla stagione andata all'ombra
del lampione san soucì
Che cos'è l'amor
chiedilo alla porta
alla guardarobiera nera
e al suo romanzo rosa
che sfoglia senza posa
al saluto riverente
del peruviano dondolante
che china il capo al lustro
della settima Polàr
Ahi, permette signorina
sono il re della cantina
volteggio tutto crocco
sotto i lumi
dell'arco di San Rocco
ma s'appoggi pure volentieri
fino all'alba livida di bruma
che ci asciuga e ci consuma
Che cos'è l'amor
è un sasso nella scarpa
che punge il passo lento di bolero
con l'amazzone straniera
stringere per finta
un'estranea cavaliera
è il rito di ogni sera
perso al caldo del pois di san soucì
Che cos'è l'amor
è la Ramona che entra in campo
e come una vaiassa a colpo grosso
te la muove e te la squassa
ha i tacchi alti e il culo basso
la panza nuda e si dimena
scuote la testa da invasata
col consesso
dell'amica sua fidata
Ahi, permette signorina
sono il re della cantina
vampiro nella vigna
sottrattor nella cucina
son monarca e son boemio
se questa è la miseria
mi ci tuffo
con dignità da re
Che cos'è l'amor
è un indirizzo sul comò
di unposto d'oltremare
che è lontano
solo prima d'arrivare
partita sei partita
e mi trovo ricacciato
mio malgrado
nel girone antico
qui dannato
tra gli inferi dei bar
Che cos'è l'amor
è quello che rimane
da spartirsi e litigarsi nel setaccio
della penultima ora
qualche Estèr da Ravarino
mi permetto di salvare
al suo destino
dalla roulotte ghiacciata
degli immigrati accesi
della banda san soucì
Ahi, permette signorina
sono il re della cantina
vampiro nella vigna
sottrattor nella cucina
Son monarca e son boemio
se questa è la miseria
mi ci tuffo
con dignità da re
Ahi, permette signorina
sono il re della cantina
volteggio tutto crocco
sotto i lumi dell'arco di San Rocco
Son monarca e son boemio
se questa è la miseria
mi ci tuffo
con dignità da re"
Che fantastica storia è la vita,Antonello Venditti,"Mi chiamo Antonio e faccio il cantautore,
e mio padre e mia madre mi volevano dottore,
ho sfidato il destino per la prima canzone,
ho lasciato gli amici, ho perduto l'amore.
E quando penso che sia finita,
è proprio allora che comincia la salita.

Che fantastica storia è la vita.

Mi chiamo Laura e sono laureata,

dopo mille concorsi faccio l'impiegata,

e mio padre e mia madre, una sola pensione,

fanno crescere Luca, il mio unico amore.

A volte penso che sia finita,

ma è proprio allora che comincia la salita.

Che fantastica storia è la vita.

Che fantastica storia è la vita.

E quando pensi che sia finita,

è proprio allora che comincia la salita.

Che fantastica storia è la vita.

Mi chiamano Gesù e faccio il pescatore,

e del mare e del pesce sento ancora l'odore,

di mio Padre e mia Madre, su questa Croce,

nelle notti d'estate, sento ancora la voce.

E quando penso che sia finita,

è proprio allora che comincia la salita.

Che fantastica storia è la vita.

Che fantastica storia è la vita.

Mi chiamo Aisha, come una canzone,

sono la quarta di tremila persone,

su questo scoglio di buona speranza,

scelgo la vita, l'unica salva.

E quando penso che sia finita,

è proprio adesso che comincia la salita.

Che fantastica storia è la vita.

Che fantastica storia è la vita."
Che Male C’è,Pino Daniele,"Abbracciami perchè mentre parlavi
ti guardavo le mani
abbracciami perchè sono sicuro
che in un'altra vita mi amavi
abbracciami anima sincera
abbracciami in questa sera
per questo strano bisogno
anch'io mi vergogno
che male c'è
che c'è di male
se la mia vita ti appartiene
ed è normale
che male c'è
che c'è di male
se chiudo gli occhi e insieme a te
stò così bene
credimi averti incontrata
è stata una fortuna
perchè stare da soli a volte
si a volte fa paura
e tu m'hai messo le manette
poggio la testa sulle gambe strette
mi sveglio in mezzo a quel sorriso
gridando ""questo è il paradiso""
che male c'è
che c'è di male
se la mia vita ti appartiene
ed è normale
che male c'è
che c'è di male
se chiudo gli occhi e insieme a te
stò così bene
prendimi prendimi
lanciami un segnale
in un giorno di sole
col diluvio universale
lanciami uno sguardo
per farmi capire
se devo stare zitto
oppure lo posso dire
che il potere è avere
solo il sole e il sentimento
e noi ci siamo fino al collo
ci siamo dentro
che bella confusione
che c'è nella mia mente
e com'è bello stare
con te in mezzo alla gente
eh yeah
che c'è di male
se la mia vita ti appartiene
ed è normale
che male c'è
che c'è di male
se chiudo gli occhi e insieme a te
stò così bene
Che male c'è
che c'è di male
Che male c´é"
Che sarà,Jimmy Fontana,"Paese mio che stai sulla collina,
disteso come un vecchio addormentato;
la noia, l""abbandono, il niente son la tua malattia,
paese mio ti lascio e vado via.
Che sara, che sara, che sara
che sara della mia vita, chi lo sa!
So far tutto, o forse niente, da domani si vedra
e sara, sara quel che sara.
Gli amici miei son quasi tutti via,
e gli altri partiranno dopo me,
peccato, perche stavo bene in loro compagnia
ma tutto passa, e tutto se ne va.
Che sara, che sara, che sara
che sara della mia vita, chi lo sa!
Con me porto la chitarra,
e se la notte piangero
una nenia di paese suonero.
Amore mio ti bacio sulla bocca
che fu la fonte del mio primo amore,
ti do l""appuntamento,
dove e quando non lo so,
ma so soltanto che ritornero.
Che sara, che sara, che sara
che sara della mia vita, chi lo sa!
So far tutto, o forse niente, da domani si vedra
e sara, sara quel che sara."
Che To Dico A Fa,Angelina Mango,"Io non ho piani
Io non ho piani
E non ho orari
Io non ho orari
E non è presto
E non è tardi

E non ha un nome

Questa faccia non ha specchi

Tanto siamo uguali

Ti guarderei continuamente

Comunque sia

Ogni posto è casa mia

E siamo umani

E con le mani che tu mi trascini via

Potevo ballare con lui

Eh eh

Ma sto qua a pazziare con te

Tienilo a mente

Tienilo a mente

Che non ho più niente

Ho solo te

E se poi scappo via così

Nei vicoli di Spaccanapoli

Ci rimarrei per sempre

Ti giuro sempre

Vorrei dirti che devo andare

Ma che t’o dico a fà

Eh eh, eh eh, eh eh

Ma che t’o dico a fà

Ma ormai ti amo

E tu mi ami

Hey, se non lo vedi metti gli occhiali

Hey, e non diciamolo per scaramanzia

Che non si sa mai, non si sa mai

Però, ti guarderei continuamente

Comunque sia, ogni posto è casa mia

E siamo umani

E con le mani mi trascini via

Potevo ballare con lui

Ma sto qua a pazziare con te

Tienilo a mente

Tienilo a mente

Che non ho più niente

Ho solo te

E se poi scappo via così

Nei vicoli di Spaccanapoli

Ci rimarrei per sempre

Ti giuro sempre

Vorrei dirti che devo andare

Ma che t’o dico a fà

Sembra una pazzia

Ma è la vita mia

Non si fa capire

Come una poesia

Ma la vita tua

Sincera vita mia

È pari a una pazzia

È pari a una poesia

Io potevo ballare con lui

Ma sto qua a pazziare con te

Tienilo a mente

Tienilo a mente

Che non ho più niente

Ho solo te

E se poi scappo via così

Nei vicoli di Spaccanapoli

Ci rimarrei per sempre

Ti giuro sempre

Vorrei dirti che devo andare

(devo andare, devo andare)

Ah, ma che t’o dico a fà

Eh eh, eh eh, eh eh

Ma che t’o dico a fà"
Ci Sarà,Al Bano & Romina Power,"Romina: Dopo questa vita che
si dimentica di te
dopo questo cielo senza arcobaleno
dopo la malinconia
che mi prende a ogni bugia
dopo tutta questa voglia di sereno
dimmi chi ci sarà

Al Bano: Dopo il sogno delle Hawaii
come tutti i marinai
attraverso questo mare di cemento
Dopo un altro inverno che
soffia neve su di me
che ho già freddo se non sono accanto a te

Ref: devi crederci
ci sarà
una storia d'amore ed un mondo migliore
ci sarà
un azzurro più intenso ed un cielo più immenso
ci sarà
la tua ombra al mio fianco vestita di bianco
ci sarà
anche un modo più umano per dirsi ti amo di più

Romina: Dopo un oggi che non va
dopo tanta vanità
e nessuno che ti da niente per niente

Al Bano: Dopo tutto il male che
c'è nel mondo intorno a te
com'è bello ritrovarti accanto a me

Ref: devi crederci
ci sarà
una storia d'amore ed un mondo migliore
ci sarà
un azzurro più intenso ed un cielo più immenso
ci sarà
la tua ombra al mio fianco vestita di bianco
ci sarà
anche un modo più umano per dirsi ti amo
ci sarà
una storia d'amore ed un mondo migliore
ci sarà
un azzurro più intenso ed un cielo più immenso
ci sarà
la tua ombra al mio fianco vestita di bianco
ci sarà
anche un modo più umano per dirsi ti amo"
Ci Sei Sempre Stata,Ligabue,"Più ti guardo e meno lo capisco
da che posto vieni
forse sono stati tanti posti
tutti da straniera
chi ti ha fatto gli occhi e quelle gambe

ci sapeva fare

chi ti ha dato tutta la dolcezza

ti voleva bene

quando il cielo non bastava

non bastava la brigata

eri solo da incontrare

ma tu ci sei sempre stata

quando si allungava l'ombra

sopra tutta la giornata

eri solo più lontana

ma tu ci sei sempre stata

più ti guardo e più mi meraviglio

e più ti lascio fare

che ti guardo e anche se mi sbaglio

almeno sbaglio bene

il futuro è tutto da vedere

tu lo vedi prima

me lo dici vuoi che mi prepari

e sorridi ancora...

quando il tempo non passava

non passava la nottata

eri solo da incontrare

ma tu ci sei sempre stata

e anche quando si gelava

con la luna già cambiata

eri solo più lontana

ma tu ci sei sempre stata

nemmeno un bacio

che sia stato mai sprecato

nemmeno un gesto così..., così...

nemmeno un bacio

che sia stato regalato

nemmeno un gesto così...

tanto per

così

Più ti guardo e meno lo capisco

quale giro hai fatto

ora parte tutto un altro giro

e ho già detto tutto

quando il cielo non bastava

non bastava la brigata

eri solo da incontrare

ma tu ci sei sempre stata

quando il tempo non passava

non passava la nottata

eri solo più lontana

ma tu ci sei sempre stata

(Grazie a paola per questo testo e ad Alessandra, Ely per le correzioni)"
Ci sono anch'io,883,"Io
di risposte non ne ho
mai avute mai ne avrò
di domande ne ho quante ne vuoi
e tu
neanche tu mi fermerai

neanche tu ci riuscirai

io non sono

quel tipo di uomo e non lo sarò mai

Non so se la rotta è giusta o se

mi sono perduto ed è

troppo tardi

per tornare indietro così

meglio che io vada via

non pensarci, è colpa mia

questo mondo

non sarà mio

Non so

se è soltanto fantasia

o se è solo una follia

quella stella lontana laggiù

Però

io la seguo e anche se so

che non la raggiungerò

potrò dire

ci sono anch'io

Non è

stato facile perchè

nessun altro a parte me

ha creduto

però ora so

che tu

vedi quel che vedo io

il tuo mondo è come il mio

e hai guardato

nell'uomo che sono e sarò

Ti potranno dire che

non può esistere

niente che non si tocca o si conta o si compra perchè

chi è deserto non vuole che qualcosa fiorisca in te

E so

che non è una fantasia

Non è stata una follia

quella stella

la vedi anche tu

perciò

io la seguo ed adesso so

che io la raggiungerò

perchè al mondo

ci sono anch'io

perchè al mondo

ci sono anch'io

ci sono anch'io

ci sono anch'io"
Ci vorrebbe un amico,Antonello Venditti,"Stare insieme a te è stata una partita,
va bene hai vinto tu, e tutto il resto è vita.
Ma se penso che l'amore è darsi tutto dal profondo
in questa nostra storia sono io che vado a fondo.

Ci vorrebbe un amico

per poterti dimenticare,

ci vorrebbe un amico

per dimenticare il male,

ci vorrebbe un amico

qui per sempre al mio fianco,

ci vorrebbe un amico

nel dolore e nel rimpianto.

Amore, amore illogico, amore disperato,

lo vedi sto piangendo? ma io ti ho perdonato.

E se amor che a nullo ho amato,

amore, amore mio perdona

in questa notte fredda mi basta una parola.

Ci vorrebbe un amico

per poterti dimenticare,

ci vorrebbe un amico

per dimenticare il male,

ci vorrebbe un amico

qui per sempre al mio fianco,

ci vorrebbe un amico

nel dolore e nel rimpianto.

Ci vorrebbe un amico

per poterti dimenticare,

ci vorrebbe un amico

per dimenticare tutto il male,

ci vorrebbe un amico

qui per sempre al mio fianco,

ci vorrebbe un amico

nel dolore e nel rimpianto.

vivere con te è stata una partita

il gioco è stato duro, comunque sia finita

ma sarà la notte magica o forse l'emozione

io mi ritrovo solo davanti al tuo portone.

Ci vorrebbe un amico

per poterti dimenticare,

ci vorrebbe un amico

per dimenticare il male,

ci vorrebbe un amico

qui per sempre al mio fianco,

ci vorrebbe un amico

nel dolore e nel rimpianto. Ci vorrebbe un amico...."
Ci Vuole Un Fisico Bestiale,Luca Carboni,"Ci vuole un fisico speciale
per fare quello che ti pare
perché di solito a nessuno
vai bene così come sei
Tu che cercavi comprensione sai, comprensione sai
ti trovi lì in competizione sai, competizione sai

Ci vuole un fisico bestiale

per resistere agli urti della vita

a quel che leggi sul giornale

e certe volte anche alla sfiga

Ci vuole un fisico bestiale sai, speciale sai

anche per bere e per fumare, fumare sai

Ci vuole un fisico bestiale

perché siamo sempre ad un incrocio

sinistra, destra oppure dritto

il fatto è che è sempre un rischio

Ci vuole un attimo di pace, di pace sai

di fare quello che ci piace, ci piace sai

E come dicono i proverbi

e lo dice anche mio zio

mente sana in corpo sano

e adesso son convinto anch'io

Ci vuole molto allenamento, allenamento sai,

per stare dritti contro il vento sai, contro il vento sai

Ci vuole il fisico e il carico e il manico

Ci vuole di non farsi prendere dal panico

Il tocco magico, lo slancio atletico

L'afflato mistico e il diploma allo scientifico

Il piano B da realizzare quando è sabato

La scarpa giusta e il materasso morbido

Ci vuole un dio che ci protegga quando il gioco si complica

E un po' di pratica con l'informatica

E se si fa drammatica la situazione, ciak, motore, azione

Ci vuole un fisico bestiale

per stare nel mondo dei grandi

e poi trovarsi a certe cene

con tipi furbi ed arroganti

Ci vuole un fisico bestiale sai, speciale sai

anche per bere e per fumare sai, fumare sai

Ci vuole un fisico bestiale

il mondo è un grande ospedale

e siamo tutti un po' malati

ma siamo anche un po' dottori

E siamo tutti molto ignoranti sì, ignoranti sì

ma siamo anche un po' insegnanti sai, insegnanti sai

Ci vuole un fisico bestiale

perché siam barche in mezzo al mare..."
Ciao Ciao,La Rappresentante di Lista,"Come stai bambina?
Dove vai stasera?
Che paura intorno
È la fine del mondo
Sopra la rovina sono una regina
Mammamma

Ma non so cosa salvare

Sono a pezzi, già mi manchi

Occhi dolci, cuori infranti

Che spavento

Come il vento

Questa terra sparirà

Nel silenzio della crisi generale

Ti saluto con amore

Con le mani, con le mani, con le mani

Ciao ciao

Con i piedi, con i piedi, con i piedi

Ciao ciao

E con la testa, con il petto, con il cuore

Ciao ciao

E con le gambe, con il culo, coi miei occhi

Ciao!

Questa è l’ora della fine

Romperemo tutte le vetrine

Tocca a noi, non lo senti, come un’onda arriverà

Me lo sento esploderà, esploderà!

La fine del mondo è una giostra perfetta

Mi scoppia nel cuore la voglia di festa

La fine del mondo, che dolce disdetta

Mi vien da star male, mi scoppia la testa!

Con le mani, con le mani, con le mani

Ciao ciao

E con i piedi, con i piedi, con i piedi

Ciao ciao

E con le gambe, con il culo, coi miei occhi

Ciao ciao

E con la testa, con il petto, con il cuore

Buonanotte, bonne nuit

E bonne nuit e ciao ciao

Buonanotte, è la fine, ti saluto

Ciao ciao

Buonanotte, bonne nuit

E bonne nuit e ciao ciao

Ciao ciao

Ciao ciao

Mentre mangio cioccolata in un locale

Mi travolge una vertigine sociale

Mentre leggo uno stupido giornale

In città è scoppiata la guerra mondiale

E con le mani, con le mani, con le mani

Ciao ciao

E con i piedi, con i piedi, con i piedi

Ciao ciao

Con le mani, con le mani, con le mani

Ciao ciao

Con i piedi, con i piedi, con i piedi

Ciao ciao

E con la testa, con il petto, con il cuore

Ciao ciao

E con le gambe, con il culo, coi miei occhi

Ciao"
Ciao Mamma,Jovanotti,"Che bello è, quando c'è tanta gente
e la musica, la musica ci fa star bene
è una libidine è una rivoluzione
quando ci si può parlare, con una canzone
che bello è, quando lo stadio è pieno
e la musica, la musica riempie il cielo

è una libidine è una rivoluzione

è una libidine è una rivoluzione

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO

ALEE OOH - ALEE OOH ALEE OOH - ALEE OOH

e quando tramonterà,

il sole sopra la città

un'anima sola, un corpo unico

è una libidine è una rivoluzione

è una libidine è una rivoluzione

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO

ALEE OOH - ALEE OOH ALEE OOH - ALEE OOH

(finale coro) Che bello è, quando c'è tanta gente

e la musica, la musica ci fa star bene

che bello è quando lo stadio è pieno

e la musica, la musica riempie il cielo

è una libidine è una rivoluzione

è una libidine è una rivoluzione

CIAO MAMMA GUARDA COME MI DIVERTO

CIAO MAMMA GUARDA COME MI DIVERTO..."
Cicale,Heather Parisi,"Delle cicale
ci cale ci cale ci cale
della formica
invece non ci cale mica
automobili telefoni tivu'

nella scatola del mondo io e tu

per cui la quale

ci cale ci cale ci cale

per carnevale

ci cale ci cale ci cale

di chi fa il pianto

ci cale ma mica poi tanto

sole rosso fa l'arancia..

di lassu'

luna gialla fa il limone..

di quaggiu'

per cui la quale

ci cale ci cale ci cale

non voglio fare l'altalena..

su e giu'

io sto bene dove..

ci sei tu

cica cica'..

e questo e' brutto e questo e' bello..

chi lo sa'..

merlo del castello..

vola e va'

cica cica'..

io sto' qua.. ah..

Di chi sta' male

ci cale ci cale ci cale

di chi fa il pianto

ci cale ma mica poi tanto

sole rosso fa l'arancia..

di lassu'

luna gialla fa il limone..

di quaggiu'

per cui la quale

ci cale ci cale ci cale

non voglio fare l'altalena..

su e giu'

io sto' bene dove..

ci sei tu

cica cica'..

e questo e' brutto e questo e' bello

chi lo sa'..

merlo del castello vola e va'

cica cica'..

io sto' qua.. ah..

Delle cicale

ci cale ci cale ci cale

della formica

invece non ci cale mica

automobili telefoni tivu'

nella scatola del mondo io tu

per cui la quale

ci cale ci cale ci cale."
Cinque Giorni,Michele Zarrillo,"Cinque giorni che ti ho perso
quanto freddo in questa vita
ma tu
non mi hai cercato più
troppa gente che mi chiede
scava dentro la ferita

e in me

non cicatrizzi mai

faccio male anche a un amico

che ogni sera è qui

gli ho giurato di ascoltarlo

ma tradisco lui e me

perché quando tu sei ferito non sai mai

oh mai

se conviene più guarire

o affondare giù

per sempre

amore mio come farò a rassegnarmi a vivere

e proprio io che ti amo ti sto implorando

aiutami a distruggerti

cinque giorni che ti ho perso

mille lacrime cadute

ed io

inchiodato a te

tutto e ancora più di tutto

per cercare di scappare

ho provato a disprezzarti

a tradirti a farmi male

perché quando tu stai annegando non sai mai

oh mai

se conviene farsi forza

o lasciarsi andare giù

nel mare

amore mio come farò a rassegnarmi a vivere

e proprio io che ti amo ti sto implorando

aiutami a distruggerti

se un giorno tornerò nei tuoi pensieri

mi dici tu chi ti perdonerà

di esserti dimenticata ieri

quando bastava stringersi di più

parlare un po'

.........................

e proprio io che ti amo ti sto implorando

aiutami a distruggerti"
Colpa D'Alfredo,Vasco Rossi,"Ho perso un'altra occasione buona stasera
e' andata a casa con il negro, la troia!
Mi son distratto un'attimo...
Colpa d'alfredo
che con i suoi discorsi ""seri"" e inopportuni
mi fa' sciupare tutte le occasioni

e prima o poi lo uccido!...Lo uccido!

E lei invece non ha perso tempo

ha preso subito la palla al balzo

l'ho vista uscire, mano nella mano, con quell'africano

che non parla neanche bene l'italiano, ma si vede che

si fa' capire bene quando vuole...

Tutte le sere ne accompagna a casa una diversa

chissa'che cosa le racconta,

per me e' la macchina che c'ha che conta!

E quella stronza non si e' neanche preocupata

di dirmi almeno qualche cosa, che so', una scusa...

Eeeee! Si era gia' dimenticata

di quello che mi aveva detto prima....

""mi puoi portare a casa questa sera?

Abito fuori modena, modena park""

ti porterei anche in america

ho comperato la macchina apposta!

...E mi ero gia' montato la testa...

Avevo fatto tutti i miei progetti...

Non la portavo mica a casa,

beh se la sposavo non lo so, ma cosa conta!

Sono convinto che

se non ci fosse stato lui mi abrebbe detto si!

Sono convinto che

se non ci fosse stato lui mi avrebbe detto si!!!!"
Colpa del Whisky,Vasco Rossi,"Sarà colpa del whisky
O sarà colpa del caffè
Ma non mi ricordo più
di te
Sarà che questa sera
Fa un freddo micidiale

Sarà che non ho neanche voglia

Di parlare

Ma no non andartene adesso

Non andartene rimani

Dimmi almeno

Dimmi almeno come ti chiami

Ma dài scherzavo dài

Ma cosa ti salta in mente

Ricordo il tuo nome

Perfettamente

Ce l'ho stampato in testa

Fin da quando t'ho veduto

L'amavo già da prima

Prima ancora d'averti conosciuto

Mi piaci tu Mi piaci tu Mi piaci tu

Ma come te lo devo dire

Mi piaci tu Mi piaci tu mi piaci solo tu

Ma come te lo devo dire

Mi piace proprio come sei

E anche quella che vuoi sembrare

Mi piace perché non ce la fai

E allora ti lasci andare

Mi piaci quando fai l'amore

E al buio ti sento respirare

Mi piaci quando riapri gli occhi

E dici di vedere il mare

Mi piaci tu Mi piaci tu Mi piaci tu

Ma come te lo devo dire

Mi piaci tu Mi piaci tu mi piaci solo tu

Ma come te lo devo dire

Mi piaci tu Mi piaci tu Mi piaci tu

Ma come te lo devo dire

Mi piaci tu Mi piaci tu mi piaci solo tu

Ma come te lo devo dire

Te lo devo dire"
Come deve andare,883,"Erano le vacanze di natale
dell'anno di quel freddo micidiale
il mio peugeot col gelo arrancava
tossiva un po' partiva e si fermava
mi superò uno col fifty nero
lo vidi che rideva son sicuro

dall'alto del suo fifty sia di me che del peugeot

così tornai a casa un po' umiliato

col ghiaccio che dal chiodo era entrato

in profondità nel mio orgoglio ferito

è allora che al volo ho realizzato

il rischio di passare la mia vita

sopra a un peugeot che arranca in salita

mentre uno con il fifty ti sorpassa ride e va

e tutto va come deve andare

o per lo meno così dicono

e tutto va come deve andare

o per lo meno me lo auguro

se ne andò il tempo delle mele

e arrivò l'inferno delle pere

amici che non avrei più rivisto

sbattuti la scaraventati in pasto

a una realtà che qualche anno dopo

avrebbe già riscosso il suo tributo

da sola o con le quattro letterine magiche

e c'erano quelli già sistemati

in società temuti e rispettati

guardavano con schifo malcelato

persone con cui avevano vissuto

non era più il tempo di parlare

con gente che era così inferiore

ridendo di un peugeot in salita che non ce la fa

e tutto va come deve andare

o per lo meno così dicono

e tutto va come deve andare

o per lo meno me lo auguro

e siamo qui ai piedi in una strada

che sale su ripida e dissestata

la chiamano età della ragione

ci passano miliardi di persone

io spero di poterla fare tutta

guardare giù quando arriverò in vetta

anche arrancando come quel vecchissimo peugeot

e tutto va come deve andare

o per lo meno così dicono

e tutto va come deve andare

o per lo meno me lo auguro

e tutto va come deve andare

o per lo meno così dicono

e tutto va come deve andare

o per lo meno me lo auguro"
Come Mai,883,"Le notti non finiscono all'alba nella via
le porto a casa insieme a me, ne faccio melodia
e poi mi trovo a scrivere chilometri di lettere
sperando di vederti ancora qui.
Inutile parlarne sai, non capiresti mai

seguirti fino all'alba e poi, vedere dove vai

mi sento un po' bambino ma, lo so con te non finirà

il sogno di sentirsi dentro un film.

E poi all'improvviso, sei arrivata tu

non so chi l'ha deciso, m'hai preso sempre più

una quotidiana guerra con la razionalità

ma va bene pur che serva, per farmi uscire

Come mai, ma chi sarai, per fare questo a me

notti intere ad aspettarti, ad aspettare te.

Dimmi come mai, ma chi sarai, per farmi stare qui

qui seduto in una stanza, pregando per un sì.

Gli amici se sapessero, che sono proprio io

pensare che credevano, che fossi quasi un Dio

perché non mi fermavo mai

nessuna storia inutile

uccidersi d'amore ma per chi.

Lo sai all'improvviso, sei arrivata tu

non so chi l'ha deciso, m'hai preso sempre più

una quotidiana guerra, con la razionalità

ma va bene pur che serva, per farmi uscire

Come mai, ma chi sarai, per fare questo a me

notti intere ad aspettarti, ad aspettare te

dimmi come mai, ma chi sarai, per farmi stare qui

qui seduto in una stanza pregando per un sì.

Dimmi come mai, ma chi sarai per fare questo a me

notti intere ad aspettarti, ad aspettare te

dimmi come mai, ma chi sarai, per farmi stare qui

qui seduto in una stanza pregando per un sì

Dimmi come mai, ma chi sarai, per farmi stare qui

qui seduto in una stanza pregando per un sì"
Come Nelle Favole,Vasco Rossi,"Quello che potremmo fare io e te
Senza dar retta a nessuno
Senza pensare a qualcuno
Quello che potremmo fare io e te
Non lo puoi neanche credere

Quello che potremmo fare io e te

Senza pensare a niente

Senza pensare sempre

Quello che potremmo fare io e te

Non si può neanche immaginare

Sai che ho pensato sempre quasi continuamente

Che non sei mai stata mia

Me lo ricordo sempre che non è successo niente

Dovevi sempre andar via

Io e te, io e te

Dentro un bar a bere e a ridere

Io e te, io e te

A crescere bambini, avere dei vicini

Io e te, io e te

Seduti sul divano

Parlar del più e del meno

Io e te, io e te

Come nelle favole

Quello che potremmo fare io e te

Non l'ho mai detto a nessuno

Però ne sono sicuro

Quello che potremmo fare io e te

Non si può neanche immaginare

Io e te, io e te

Dentro un bar a bere e a ridere

Io e te, io e te

A crescere bambini, avere dei vicini

Io e te, io e te

Sdraiati su un divano

Parlar del più e del meno

Io e te, io e te

Come nelle favole

Io e te, io e te

Io e te, io e te

A crescere bambini, avere dei vicini

Io e te

Io e te, io e te

Io e te, io e te

Sdraiati su un divano

Parlar del più e del meno

Io e te

Io e te, io e te

Io e te, io e te

A crescere bambini, avere dei vicini

Io e te

Come nelle favole..."
Come Saprei,Giorgia,"Come saprei
capire l'uomo che sei.
Come saprei
scoprire poi
le fantasie che vuoi.
Io ci arriverei

nel profondo dentro te

nei silenzi tuoi

emozionando

sempre più.

Come saprei

stupire l'uomo che sei

quando stai lì

e non sai

che voli prendere.

Come saprei

richiamare gli occhi tuoi

incollarli ai miei

emozionando

sempre più.

Nel mondo che

solitudini ci dà,

perché non resti un po' con me?

Come saprei

amarti io

nessuno saprebbe mai.

Come saprei

riuscirci io

ancora non lo sai.

Io ci metterò

tutta l'anima che ho.

Quanta vita sei

da vivere adesso.

Come saprei...

Io vorrei che fosse già pelle

il contatto che c'è.

Io vorrei che fossero stelle

ogni volta con te.

Come saprei

amarti io

nessuno saprebbe mai.

Come saprei

riuscirci io

ancora non lo sai.

Io ci metterò

tutta l'anima che ho.

Quanta vita sei

da vivere adesso,

come saprei...

Quanto amore c'è

pronto a scoppiare in me.

Quanta vita sei

da vivere adesso,

sì adesso,

come saprei...

(Grazie a Fabiana Bergami per le correzioni)"
Come Together,The Beatles,"Here come old flat top he come growing up slowly
He got joo-joo eyeball he one holy roller
He got hair down to his knees
Got to be a joker he just do what he please
He wear no shoeshine he got toe-jam football

He got monkey finger he shoot coca-cola

He say ""I know you, you know me""

One thing I can tell you is you got to be free

Come together right now over me

He bag production he got walrus gumboot

He got Ono sideboard he one spinal cracker

He got feet down below his knees

Hold you in his armchair you can feel his disease

Come together right now over me

He roller-coaster he got only warning

He got muddy water he one mojo filter

He say ""One and one and one is three""

Got to be good-looking 'cause he's so hard to see

Come together right now over me."
Come un pittore,Modà,"Ciao, semplicemente ciao.
Difficile trovar parole molto serie,
tenterò di disegnare...
come un pittore,
farò in modo di arrivare dritto al cuore
con la forza del colore.

Guarda... Senza parlare.

Azzurro come te,

come il cielo e il mare

E giallo come luce del sole,

Rosso come le

cose che mi fai...

provare.

Ciao, semplicemente ciao.

Disegno l'erba verde come la speranza

e come frutta ancora acerba.

E adesso un po' di blu

Come la notte

E bianco come le sue stelle

con le sfumature gialle

E l'aria... Puoi solo respirarla!

Azzurro come te,

come il cielo e il mare

E giallo come luce del sole,

Rosso come le

cose che mi fai...

provare.

Per le tempeste non ho il colore

Con quel che resta, disegno un fiore

Ora che è estate, ora che è amore...

Azzurro come te,

come il cielo e il mare

E giallo come luce del sole,

Rosso come le

cose che mi fai... provare."
