Titolo,Artista,Testo
A Modo Tuo,Elisa,"Sarà difficile diventar grande
Prima che lo diventi anche tu
Tu che farai tutte quelle domande
Io fingerò di saperne di più

Sarà difficile
Ma sarà come dev'essere
Metterò via i giochi
Proverò a crescere

Sarà difficile chiederti scusa
Per un mondo che è quel che è
Io nel mio piccolo tento qualcosa
Ma cambiarlo è difficile

Sarà difficile
Dire, ""tanti auguri a te""
E a ogni compleanno
Vai un po' più via da me

A modo tuo
Andrai a modo tuo
Camminerai e cadrai, ti alzerai
Sempre a modo tuo

Sarà difficile vederti da dietro
Sulla strada che imboccherai
Tutti i semafori, tutti i divieti
E le code che eviterai

Sarà difficile
Mentre piano ti allontanerai
A cercar da sola
Quella che sarai

A modo tuo
Andrai a modo tuo
Camminerai e cadrai, ti alzerai
Sempre a modo tuo

A modo tuo
Vedrai a modo tuo
Dondolerai, salterai, cambierai
Sempre a modo tuo

Sarà difficile lasciarti al mondo
E tenere un pezzetto per me
E nel bel mezzo del tuo girotondo
Non poterti proteggere

Sarà difficile
Ma sarà fin troppo semplice
Mentre tu ti giri
E continui a ridere

A modo tuo
Andrai a modo tuo
Camminerai e cadrai, ti alzerai
Sempre a modo tuo

A modo tuo
Vedrai a modo tuo
Dondolerai, salterai, cambierai
Sempre a modo tuo"
A Sky Full Of Stars,Coldplay,"Cause you're a sky, 'cause you're a sky full of stars
I'm gonna give you my heart
'Cause you're a sky, 'cause you're a sky full of stars
'Cause you light up the path

I don't care, go on and tear me apart
I don't care if you do, ooh-ooh, ooh
'Cause in a sky, 'cause in a sky full of stars
I think I saw you

'Cause you're a sky, 'cause you're a sky full of stars
I wanna die in your arms, oh, oh-oh
'Cause you get lighter the more it gets dark
I'm gonna give you my heart"
A Squarciagola,Olly,"Nuovo viaggio, nuovo mondo
Dove andremo non si sa
E non vado fino in fondo nelle cose da un po'
Come un palombaro
Che faccio tutto a caso, un po' ci riesco, un po' no
Che maleducato
Maledetto me che lascio caos dove metto le mani
Come gli americani
Gli incendi e gli uragani
Volevo questa vita che però non sento mia
Mi sento un elefante dentro una cristalleria
Alzo il volume della radio
Abbasso il finestrino e cambio l'aria
La mano controvento fa un elettrocardiogramma
Che, detto proprio chiaro, ho il timore che sia piatto

A me, che cerco un segno dentro al fondo di un caffè
Che perdo tempo a stare al mondo senza un perché
Che manderei tutto a puttane, ma non ci riesco
Ci metto tutto me stesso
Ma giro attorno a 'sta rotonda da mezz'ora
E sto in silenzio anche se penso a squarciagola
Ma quelli come me fanno finta
Che non sia dura, non sia in salita, che sia tutta vita

Oh, sai ci vuole coraggio a buttarsi in amore
Dove fare silenzio è a suo modo un rumore
Cerco trucchi e codici, però non ne usciamo
Siamo un paio di forbici, uniti separiamo
E mi sa che non respiro fino in fondo da un po'
Boh, sarà che ti amo o lo smog di Milano
E mi sei piovuta addosso senza ""ma"" né ""però""
Boh, sarà stato un caso, il cambiamento climatico

A me
Che cerco un segno dentro al fondo di un caffè
Ci metto tutto me stesso
Ma giro attorno a 'sta rotonda da mezz'ora
E sto in silenzio anche se penso a squarciagola
Ma quelli come me fanno finta
Che non sia dura, non sia in salita, che sia tutta vita
E anche se dentro a me c'è questa baraonda
Qui c'è un silenzio che mi ride a squarciagola
Che quelli come me fanno finta
Che non sia dura, non sia in salita, che sia tutta vita"
A Te,Jovanotti,"A te che sei l'unica al mondo
L'unica ragione per arrivare fino in fondo
Ad ogni mio respiro
Quando ti guardo
Dopo un giorno pieno di parole
Senza che tu mi dica niente
Tutto si fa chiaro

A te che mi hai trovato
All'angolo coi pugni chiusi
Con le mie spalle contro il muro
Pronto a difendermi
Con gli occhi bassi
Stavo in fila con i disillusi
Tu mi hai raccolto come un gatto
E mi hai portato con te

A te io canto una canzone
Perché non ho altro
Niente di meglio da offrirti
Di tutto quello che ho
Prendi il mio tempo
E la magia
Che con un solo salto
Ci fa volare dentro all'aria
Come bollicine

A te che sei
Semplicemente sei
Sostanza dei giorni miei
Sostanza dei giorni miei

A te che sei il mio grande amore
Ed il mio amore grande
A te che hai preso la mia vita
E ne hai fatto molto di più
A te che hai dato senso al tempo
Senza misurarlo
A te che sei il mio amore grande
Ed il mio grande amore

A te che io
Ti ho visto piangere nella mia mano
Fragile che potevo ucciderti
Stringendoti un po'
E poi ti ho visto
Con la forza di un aeroplano
Prendere in mano la tua vita
E trascinarla in salvo

A te che mi hai insegnato i sogni
E l'arte dell'avventura
A te che credi nel coraggio
E anche nella paura
A te che sei la miglior cosa
Che mi sia successa
A te che cambi tutti i giorni
E resti sempre la stessa

A te che sei
Semplicemente sei
Sostanza dei giorni miei
Sostanza dei sogni miei

A te che sei
Essenzialmente sei
Sostanza dei sogni miei
Sostanza dei giorni miei

A te che non ti piaci mai
E sei una meraviglia
Le forze della natura si concentrano in te
Che sei una roccia, sei una pianta, sei un uragano
Sei l'orizzonte che mi accoglie quando mi allontano

A te che sei l'unica amica
Che io posso avere
L'unico amore che vorrei
Se io non ti avessi con me

A te che hai reso la mia vita
Bella da morire
Che riesci a render la fatica
Un immenso piacere

A te che sei il mio grande amore
Ed il mio amore grande
A te che hai preso la mia vita
E ne hai fatto molto di più
A te che hai dato senso al tempo
Senza misurarlo
A te che sei il mio amore grande
Ed il mio grande amore

A te che sei
Semplicemente sei
Sostanza dei giorni miei
Sostanza dei sogni miei

A te che sei
Semplicemente sei
Compagna dei giorni miei
Sostanza dei sogni"
A Thousand Years,Christina Perri,"Heart beats fast
Colors and promises
How to be brave?
How can I love when I'm afraid to fall?
But watching you stand alone
All of my doubt suddenly goes away somehow
One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

Time stands still
Beauty in all she is
I will be brave
I will not let anything take away
What's standing in front of me
Every breath, every hour has come to this
One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more

One step closer
One step closer

I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more"
Abbronzatissima,Edoardo Vianello,"A-abbronzatissima
Sotto i raggi del sole
Come è bello sognare
Abbracciato con te

A-abbronzatissima
A due passi dal mare
Come è dolce sentirti
Respirare con me

Sulle labbra tue dolcissime
Un profumo di salsedine
Sentirò per tutto il tempo
Di questa estate d'amor

Quando il viso tuo nerissimo
Tornerà di nuovo pallido
Questi giorni in riva al mar
Non potrò dimenticar

A-abbronzatissima
Sotto i raggi del sole (eh-eh)
A due passi dal mare
Abbracciato con te

Sulle labbra tue dolcissime
Un profumo di salsedine
Sentirò per tutto il tempo
Di questa estate d'amor

Quando il viso tuo nerissimo
Tornerà di nuovo pallido
Questi giorni in riva al mar
Non potrò dimenticar

A-abbronzatissima
Sotto i raggi del sole (eh-eh)
A due passi dal mare
Abbracciato con te

A-abbronzatissima"
Acqua Azzurra Acqua Chiara,Lucio Battisti,"Ogni notte ritornar
Per cercarla in qualche bar
Domandare ""Ciao che fai?""
E poi uscire insieme a lei
Ma da quando ci sei tu
Tutto questo non c'è più

Acqua azzurra, acqua chiara
Con le mani posso finalmente bere
Nei tuoi occhi innocenti
Posso ancora ritrovare
Il profumo di un amore puro
Puro come il tuo amor

Ti telefono se vuoi
Non so ancora se c'è lui
Accidenti, che farò?
Quattro amici troverò
Ma da quando ci sei tu
Tutto questo non c'è più

Acqua azzurra, acqua chiara
Con le mani posso finalmente bere
Nei tuoi occhi innocenti
Posso ancora ritrovare
Il profumo di un amore puro
Puro come il tuo amor

Da quando ci sei tu
Tutto questo non c'è più

Acqua azzurra, acqua chiara
Con le mani posso finalmente bere
Acqua azzurra

Sono le quattro e mezza ormai
Non ho voglia di dormir
A quest'ora, cosa vuoi?
Mi va bene pure lei
Ma da quando ci sei tu
Tutto questo non c'è più

Acqua azzurra, acqua chiara
Con le mani posso finalmente bere
Acqua azzurra, acqua chiara
Nei tuoi occhi innocenti"
Acqua E Sale,Mina & Celentano,"Semplici e un po' banali
Io direi quasi prevedibili e sempre uguali
Sono fatti tutti così gli uomini e l'amore
Come vedi tanti aggettivi
Che si incollano su noi
Dai che non siamo poi cattivi
Tu non sei niente male
Parli bene e mi sorprendi quando tiri forte
La tua moto dal motore che sento truccato
E va bene guida tu che sei brava più di me
Ed attendo che sia amore

Ma io (ma tu) sono con te ogni giorno
Perché di te ho bisogno
Non voglio di più

Acqua e sale
Mi fai bere
Con un colpo mi trattieni il bicchiere
Mi fai male
Poi godere se mi vedi in un angolo ore ed ore
Ore piene
Come un lago
Che se piove un po' di meno è uno stagno
Vorrei dire
Non conviene
Sono io a pagare amore tutte le pene

Vedi divertirsi fa bene
Sento che mi rido dentro e questo non mi conviene
C'è qualcosa che non va ma non so dirti cosa
È la tua moto che sta giù
Che vorrei guidare io
O meglio averti qui vicino a me?

Ma io, io sono con te ogni giorno
Perché di te ho bisogno
Non voglio di più

Acqua e sale
Mi fai bere
Con un colpo mi trattieni il bicchiere
Mi fai male
Poi godere se mi vedi in un angolo ore e ore
Ore piene come un lago
Che se piove un po' di meno è uno stagno
Vorrei dire
Non conviene
Sono io a pagare amore tutte le pene"
Adesso Tu,Eros Ramazzotti,"Nato ai bordi di periferia
Dove i tram non vanno avanti più
Dove l'aria è popolare
È più facile sognare
Che guardare in faccia la realtà

Quanta gente giovane va via
A cercare più di quel che ha
Forse perché i pugni presi
A nessuno li ha mai resi
E dentro fanno male ancor di più

Ed ho imparato che nella vita
Nessuno mai ci dà di più
Ma quanto fiato, quanta salita
Andare avanti senza voltarsi mai

E ci sei adesso tu
A dare un senso ai giorni miei
Va tutto bene dal momento che ci sei
Adesso tu

Ma non dimentico
Tutti gli amici miei
Che sono ancora là
E ci si trova sempre più soli
A questa età non sai, non sai

Ma quante corse, ma quanti voli
Andare avanti senza arrivare mai

E ci sei adesso tu
Al centro dei pensieri miei
La parte interna dei respiri tu sarai
La volontà
Che non si limita
Tu che per me sei già
Una rivincita

Adesso sai chi è
Quell'uomo che c'è in me

Nato ai bordi di periferia
Dove non ci torno quasi più
Resta il vento che ho lasciato
Come un treno già passato
Oggi che mi sei accanto
Oggi che ci sei soltanto
Oggi che ci sei
Adesso tu"
Ahi Maria,Rino Gaetano,"E quando tramonta il sol una canzone d'amor
Da Baja a Salvador oh Maria per te canterò
Da quando sei andata via da quando non ci sei più
Da quando la pasta scotta non la mangio più
Ahi Maria chi mi manca sei tu

La mattina mi alzo tardi e dormo finché mi va
E il caffè me lo portano a letto due bionde in tutù
Ahi Maria chi mi manca sei tu

La notte vado a ballare per cancellare i sogni miei
Da qualche tempo ho più donne del d.j.
Ahi Maria ma tu non ci sei

E questo sapore strano che è fatto di libertà
Mi dice che oggi qualcosa è cambiato in me
Ahi Maria non sei più con me

E quando tramonta il sol una canzone d'amor
Da Baja a Salvador oh Maria canterò oh oh
Ahi Maria por ti cantarè

L'acqua mi fa un po' male la birra mi gonfia un po'
Vado avanti tristemente a champagne e bon-bon
Ahi Maria mi manca il tuo amor

Il mio caimano nero piangendo mi confidò
Che non approvava il progetto del ""metrò""
Ahi Maria da te tornerò

L'Himalaia era lontano l'ascensore lì non c'è
Ma il vecchio saggio indiano ha predetto che
Ahi Maria ritorni da me

Sebbene ho più soldi in tasca e donne ne ho troppe ormai
Sebbene il tuo cane fuori non porto più
Ahi Maria chi mi manca sei tu

E quando tramonta il sol una canzone d'amor
Da Baja a Salvador oh Maria canterò oh oh
Ahi Maria por ti cantarè

C'era una donna a Baja s'ubriacava di noia e sakè
Sotto una vecchia sequoia ballava il samba e cantava per me
Un presentatore alla radio in un armadio provava il suo show
Teneva un quiz a puntate e chiuso tutta l'estate restò
Il caimano distratto imitava il gatto e faceva bau-bau
Perché studiava le lingue e voleva alle cinque il suo tè
Mi disse un vecchio fachiro tu non sei un emiro in gilet
Mi consigliò senza imbroglio di non bere petrolio alle tre

C'era una donna a Baja s'ubriacava di noia e sakè
Sotto una vecchia sequoia ballava il samba e cantava per me
Un presentatore alla radio in un armadio provava il suo show
Il caimano distratto imitava il gatto imitava il gatto
E diceva no imitava il gatto il caimano distratto
C'era una donna a Baja una vecchia signora
Un presentatore alla radio un vecchio fachiro
Un vecchio fachiro un ricco emiro"
Ai Se Eu Te Pego,Michel Teló,"Nossa nossa
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego
Delicia delicia
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego

Sábado na balada
A galera começou a dançar
E passou a menina mais linda
Tomei coragem e comecei a falar

Nossa nossa
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego
Delicia delicia
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego

Sábado no balada
A galera começou a dançar
E passou a menina mais linda
Tomei coragem e comecei a falar

Nossa nossa
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego
Delicia delicia
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego

Nossa nossa
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego
Delicia delicia
Assim você me mata
Ai se eu te pego
Ai ai se eu te pego
Ai se eu te pego"
Aida,Rino Gaetano,"Lei sfogliava i suoi ricordi
Le sue istantanee
I suoi tabù
Le sue madonne i suoi rosari
E mille mari
E alalà

I suoi vestiti di lino e seta
Le calze a rete
Marlene e Charlot
E dopo giugno il gran conflitto
E poi l'Egitto
Un'altra età

Marce svastiche e federali
Sotto i fanali
L'oscurità
E poi il ritorno in un paese diviso
Nero nel viso
Più rosso d'amore

Aida come sei bella

Aida le tue battaglie
I compromessi
La povertà
I salari bassi la fame bussa
Il terrore russo
Cristo e Stalin

Aida la costituente
La democrazia
E chi ce l'ha
E poi trent'anni di safari
Fra antilopi e giaguari
Sciacalli e lapin

Aida come sei bella"
Ain't no Sunshine,Bill Withers,"Ain't no sunshine when she's gone
It's not warm when she's away

Ain't no sunshine when she's gone
And she's always gone too long
Anytime she goes away

Wonder this time where she's gone
Wonder if she's gone to stay

Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away

And I know, I know, I know, I know, I know
I know, I know, I know, I know, I know, I know
I know, I know, I know, I know, I know, I know
I know, I know, I know, I know, I know, I know
I know, I know, I know

Hey, I ought to leave the young thing alone
But ain't no sunshine when she's gone
Ain't no sunshine when she's gone
Only darkness everyday

Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away

Anytime she goes away
Anytime she goes away
Anytime she goes away
Anytime she goes away"
Albachiara,Vasco Rossi,"Respiri piano per non far rumore
ti addormenti di sera
ti risvegli con il sole
sei chiara come un'alba
sei fresca come l'aria.
Diventi rossa se qualcuno ti guarda

e sei fantastica quando sei assorta

nei tuoi problemi

nei tuoi pensieri.

Ti vesti svogliatamente

non metti mai niente

che possa attirare attenzione

un particolare

solo per farti guardare.

Respiri piano per non far rumore

ti addormenti di sera

ti risvegli con il sole

sei chiara come un'alba

sei fresca come l'aria.

Diventi rossa se qualcuno ti guarda

e sei fantastica quando sei assorta

nei tuoi problemi

nei tuoi pensieri.

Ti vesti svogliatamente

non metti mai niente

che possa attirare attenzione

un particolare

per farti guardare.

E con la faccia pulita

cammini per strada mangiando una

mela coi libri di scuola

ti piace studiare

non te ne devi vergognare

E quando guardi con quegli occhi grandi

forse un po' troppo sinceri, sinceri

si vede quello che pensi,

quello che sogni....

Qualche volta fai pensieri strani

con una mano, una mano, ti sfiori,

tu sola dentro la stanza

e tutto il mondo fuori"
